iter	Passed	Remaining
0	60	60100
1	115	57562
2	152	50527
3	179	44664
4	205	40816
5	232	38583
6	249	35431
7	275	34191
8	300	33119
9	315	31248
10	339	30545
11	370	30524
12	399	30364
13	424	29923
14	449	29519
15	481	29589
16	498	28809
17	529	28904
18	554	28614
19	574	28158
20	593	27683
21	623	27724
22	651	27693
23	682	27748
24	710	27705
25	739	27718
26	758	27338
27	784	27237
28	807	27030
29	834	26996
30	864	27032
31	895	27094
32	918	26918
33	940	26711
34	967	26673
35	983	26330
36	1013	26385
37	1043	26412
38	1070	26379
39	1104	26519
40	1130	26446
41	1156	26371
42	1208	26906
43	1256	27310
44	1308	27775
45	1341	27821
46	1371	27801
47	1513	30013
48	1673	32487
49	1784	33909
50	1816	33794
51	1837	33507
52	1861	33252
53	1895	33210
54	1939	33322
55	1992	33585
56	2026	33520
57	2043	33188
58	2068	32987
59	2094	32819
60	2120	32642
61	2144	32448
62	2171	32300
63	2201	32190
64	2254	32426
65	2287	32365
66	2319	32292
67	2340	32071
68	2356	31797
69	2383	31668
70	2415	31610
71	2443	31492
72	2471	31383
73	2499	31280
74	2524	31134
75	2549	30993
76	2570	30815
77	2599	30732
78	2631	30679
79	2667	30680
80	2696	30590
81	2731	30575
82	2765	30556
83	2784	30361
84	2813	30284
85	2839	30175
86	2867	30087
87	2895	30005
88	2919	29888
89	2949	29824
90	2978	29751
91	3002	29634
92	3031	29568
93	3068	29572
94	3097	29506
95	3123	29415
96	3151	29339
97	3180	29277
98	3211	29228
99	3236	29126
100	3264	29055
101	3290	28965
102	3314	28868
103	3342	28793
104	3367	28707
105	3394	28630
106	3421	28555
107	3446	28466
108	3481	28456
109	3508	28383
110	3531	28286
111	3558	28217
112	3583	28129
113	3611	28067
114	3639	28007
115	3665	27937
116	3696	27898
117	3728	27867
118	3767	27893
119	3827	28068
120	3882	28201
121	3928	28273
122	3952	28181
123	3980	28122
124	4026	28182
125	4065	28198
126	4114	28280
127	4159	28333
128	4194	28319
129	4225	28275
130	4253	28216
131	4277	28125
132	4311	28108
133	4344	28078
134	4377	28046
135	4408	28005
136	4435	27938
137	4459	27853
138	4485	27783
139	4509	27701
140	4538	27646
141	4561	27559
142	4585	27481
143	4610	27407
144	4636	27340
145	4659	27253
146	4685	27191
147	4709	27112
148	4739	27071
149	4767	27015
150	4790	26934
151	4816	26869
152	4840	26799
153	4868	26744
154	4898	26706
155	4926	26653
156	4953	26599
157	4981	26547
158	5006	26480
159	5035	26435
160	5062	26381
161	5089	26327
162	5119	26288
163	5147	26240
164	5179	26213
165	5204	26148
166	5233	26104
167	5261	26054
168	5286	25992
169	5315	25949
170	5339	25885
171	5368	25842
172	5396	25797
